"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
"10260","OTTIK","4","2014-07-19 09:00:00","2014-08-16 00:00:00","2014-07-29 00:00:00","1","55.09000","Ottilies K‰selade","Mehrheimerstr. 369","Kˆl",NULL,"50739","Germany"
"10261","QUEDE","4","2014-07-19 13:00:00","2014-08-16 00:00:00","2014-07-30 00:00:00","2","3.05000","Que DelÌcia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"10262","RATTC","8","2014-07-22 19:00:00","2014-08-19 00:00:00","2014-07-25 00:00:00","3","48.29000","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10263","ERNSH","9","2014-07-23 10:00:00","2014-08-20 00:00:00","2014-07-31 00:00:00","3","146.06000","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria"
"10264","FOLKO","6","2014-07-24 22:00:00","2014-08-21 00:00:00","2014-08-23 00:00:00","3","3.67000","Folk och f‰ HB","≈kergatan 24","Br‰cke",NULL,"S-844 67","Swede"
"10265","BLONP","2","2014-07-25 21:00:00","2014-08-22 00:00:00","2014-08-12 00:00:00","1","55.28000","Blondel pËre et fils","24, place KlÈber","Strasbourg",NULL,"67000","France"
"10266","WARTH","3","2014-07-26 14:00:00","2014-09-06 00:00:00","2014-07-31 00:00:00","3","25.73000","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland"
"10267","FRANK","4","2014-07-29 14:00:00","2014-08-26 00:00:00","2014-08-06 00:00:00","1","208.58000","Frankenversand","Berliner Platz 43","M¸nche",NULL,"80805","Germany"
"10268","GROSR","8","2014-07-30 15:00:00","2014-08-27 00:00:00","2014-08-02 00:00:00","3","66.29000","GROSELLA-Restaurante","5™ Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela"
"10269","WHITC","5","2014-07-31 00:00:00","2014-08-14 00:00:00","2014-08-09 00:00:00","1","4.56000","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"10270","WARTH","1","2014-08-01 19:00:00","2014-08-29 00:00:00","2014-08-02 00:00:00","1","136.54000","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland"
"10271","SPLIR","6","2014-08-01 05:00:00","2014-08-29 00:00:00","2014-08-30 00:00:00","2","4.54000","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10272","RATTC","6","2014-08-02 03:00:00","2014-08-30 00:00:00","2014-08-06 00:00:00","2","98.03000","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10273","QUICK","3","2014-08-05 13:00:00","2014-09-02 00:00:00","2014-08-12 00:00:00","3","76.07000","QUICK-Stop","Taucherstraﬂe 10","Cunewalde",NULL,"01307","Germany"
"10274","VINET","6","2014-08-06 12:00:00","2014-09-03 00:00:00","2014-08-16 00:00:00","1","6.01000","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France"
"10275","MAGAA","1","2014-08-07 06:00:00","2014-09-04 00:00:00","2014-08-09 00:00:00","1","26.93000","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy"
"10276","TORTU","8","2014-08-08 18:00:00","2014-08-22 00:00:00","2014-08-14 00:00:00","3","13.84000","Tortuga Restaurante","Avda. Azteca 123","MÈxico D.F.",NULL,"05033","Mexico"
"10277","MORGK","2","2014-08-09 11:00:00","2014-09-06 00:00:00","2014-08-13 00:00:00","3","125.77000","Morgenstern Gesundkost","Heerstr. 22","Leipzig",NULL,"04179","Germany"
"10278","BERGS","8","2014-08-12 14:00:00","2014-09-09 00:00:00","2014-08-16 00:00:00","2","92.69000","Berglunds snabbkˆp","Berguvsv‰gen  8","LuleÂ",NULL,"S-958 22","Swede"
"10279","LEHMS","8","2014-08-13 15:00:00","2014-09-10 00:00:00","2014-08-16 00:00:00","2","25.83000","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",NULL,"60528","Germany"
"10280","BERGS","2","2014-08-14 10:00:00","2014-09-11 00:00:00","2014-09-12 00:00:00","1","8.98000","Berglunds snabbkˆp","Berguvsv‰gen  8","LuleÂ",NULL,"S-958 22","Swede"
"10281","ROMEY","4","2014-08-14 14:00:00","2014-08-28 00:00:00","2014-08-21 00:00:00","1","2.94000","Romero y tomillo","Gran VÌa, 1","Madrid",NULL,"28001","Spai"
"10282","ROMEY","4","2014-08-15 00:00:00","2014-09-12 00:00:00","2014-08-21 00:00:00","1","12.69000","Romero y tomillo","Gran VÌa, 1","Madrid",NULL,"28001","Spai"
"10283","LILAS","3","2014-08-16 17:00:00","2014-09-13 00:00:00","2014-08-23 00:00:00","3","84.81000","LILA-Supermercado","Carrera 52 con Ave. BolÌvar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10284","LEHMS","4","2014-08-19 00:00:00","2014-09-16 00:00:00","2014-08-27 00:00:00","1","76.56000","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",NULL,"60528","Germany"
"10285","QUICK","1","2014-08-20 02:00:00","2014-09-17 00:00:00","2014-08-26 00:00:00","2","76.83000","QUICK-Stop","Taucherstraﬂe 10","Cunewalde",NULL,"01307","Germany"
"10286","QUICK","8","2014-08-21 01:00:00","2014-09-18 00:00:00","2014-08-30 00:00:00","3","229.24000","QUICK-Stop","Taucherstraﬂe 10","Cunewalde",NULL,"01307","Germany"
"10287","RICAR","8","2014-08-22 07:00:00","2014-09-19 00:00:00","2014-08-28 00:00:00","3","12.76000","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"10288","REGGC","4","2014-08-23 16:00:00","2014-09-20 00:00:00","2014-09-03 00:00:00","1","7.45000","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia",NULL,"42100","Italy"
"10289","BSBEV","7","2014-08-26 11:00:00","2014-09-23 00:00:00","2014-08-28 00:00:00","3","22.77000","B's Beverages","Fauntleroy Circus","Londo",NULL,"EC2 5NT","UK"
"10290","COMMI","8","2014-08-27 09:00:00","2014-09-24 00:00:00","2014-09-03 00:00:00","1","79.70000","ComÈrcio Mineiro","Av. dos LusÌadas, 23","Sao Paulo","SP","05432-043","Brazil"
"10291","QUEDE","6","2014-08-27 19:00:00","2014-09-24 00:00:00","2014-09-04 00:00:00","2","6.40000","Que DelÌcia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"10292","TRADH","1","2014-08-28 20:00:00","2014-09-25 00:00:00","2014-09-02 00:00:00","2","1.35000","TradiÁao Hipermercados","Av. InÍs de Castro, 414","Sao Paulo","SP","05634-030","Brazil"
"10293","TORTU","1","2014-08-29 15:00:00","2014-09-26 00:00:00","2014-09-11 00:00:00","3","21.18000","Tortuga Restaurante","Avda. Azteca 123","MÈxico D.F.",NULL,"05033","Mexico"
"10294","RATTC","4","2014-08-30 05:00:00","2014-09-27 00:00:00","2014-09-05 00:00:00","2","147.26000","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10295","VINET","2","2014-09-02 08:00:00","2014-09-30 00:00:00","2014-09-10 00:00:00","2","1.15000","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France"
"10296","LILAS","6","2014-09-03 00:00:00","2014-10-01 00:00:00","2014-09-11 00:00:00","1","0.12000","LILA-Supermercado","Carrera 52 con Ave. BolÌvar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10297","BLONP","5","2014-09-04 21:00:00","2014-10-16 00:00:00","2014-09-10 00:00:00","2","5.74000","Blondel pËre et fils","24, place KlÈber","Strasbourg",NULL,"67000","France"
"10298","HUNGO","6","2014-09-05 16:00:00","2014-10-03 00:00:00","2014-09-11 00:00:00","2","168.22000","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork",NULL,"Ireland"
"10299","RICAR","4","2014-09-06 01:00:00","2014-10-04 00:00:00","2014-09-13 00:00:00","2","29.76000","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"10300","MAGAA","2","2014-09-09 11:00:00","2014-10-07 00:00:00","2014-09-18 00:00:00","2","17.68000","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy"
"10301","WANDK","8","2014-09-09 15:00:00","2014-10-07 00:00:00","2014-09-17 00:00:00","2","45.08000","Die Wandernde Kuh","Adenauerallee 900","Stuttgart",NULL,"70563","Germany"
"10302","SUPRD","4","2014-09-10 17:00:00","2014-10-08 00:00:00","2014-10-09 00:00:00","2","6.27000","SuprÍmes dÈlices","Boulevard Tirou, 255","Charleroi",NULL,"B-6000","Belgium"
"10303","GODOS","7","2014-09-11 03:00:00","2014-10-09 00:00:00","2014-09-18 00:00:00","2","107.83000","Godos Cocina TÌpica","C/ Romero, 33","Sevilla",NULL,"41101","Spai"
"10304","TORTU","1","2014-09-12 06:00:00","2014-10-10 00:00:00","2014-09-17 00:00:00","2","63.79000","Tortuga Restaurante","Avda. Azteca 123","MÈxico D.F.",NULL,"05033","Mexico"
"10305","OLDWO","8","2014-09-13 20:00:00","2014-10-11 00:00:00","2014-10-09 00:00:00","3","257.62000","Old World Delicatesse","2743 Bering St.","Anchorage","AK","99508","USA"
"10306","ROMEY","1","2014-09-16 09:00:00","2014-10-14 00:00:00","2014-09-23 00:00:00","3","7.56000","Romero y tomillo","Gran VÌa, 1","Madrid",NULL,"28001","Spai"
"10307","LONEP","2","2014-09-17 06:00:00","2014-10-15 00:00:00","2014-09-25 00:00:00","2","0.56000","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
"10308","ANATR","7","2014-09-18 14:00:00","2014-10-16 00:00:00","2014-09-24 00:00:00","3","1.61000","Ana Trujillo Emparedados y helados","Avda. de la ConstituciÛn 2222","MÈxico D.F.",NULL,"05021","Mexico"
"10309","HUNGO","3","2014-09-19 14:00:00","2014-10-17 00:00:00","2014-10-23 00:00:00","1","47.30000","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork",NULL,"Ireland"
"10310","THEBI","8","2014-09-20 05:00:00","2014-10-18 00:00:00","2014-09-27 00:00:00","2","17.52000","The Big Cheese","89 Jefferson Way Suite 2","Portland","OR","97201","USA"
"10311","DUMO","1","2014-09-20 08:00:00","2014-10-04 00:00:00","2014-09-26 00:00:00","3","24.69000","Du monde entier","67, rue des Cinquante Otages","Nantes",NULL,"44000","France"
"10312","WANDK","2","2014-09-23 01:00:00","2014-10-21 00:00:00","2014-10-03 00:00:00","2","40.26000","Die Wandernde Kuh","Adenauerallee 900","Stuttgart",NULL,"70563","Germany"
"10313","QUICK","2","2014-09-24 22:00:00","2014-10-22 00:00:00","2014-10-04 00:00:00","2","1.96000","QUICK-Stop","Taucherstraﬂe 10","Cunewalde",NULL,"01307","Germany"
"10314","RATTC","1","2014-09-25 13:00:00","2014-10-23 00:00:00","2014-10-04 00:00:00","2","74.16000","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10315","ISLAT","4","2014-09-26 11:00:00","2014-10-24 00:00:00","2014-10-03 00:00:00","2","41.76000","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"10316","RATTC","1","2014-09-27 02:00:00","2014-10-25 00:00:00","2014-10-08 00:00:00","3","150.15000","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10317","LONEP","6","2014-09-30 00:00:00","2014-10-28 00:00:00","2014-10-10 00:00:00","1","12.69000","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
"10318","ISLAT","8","2014-10-01 00:00:00","2014-10-29 00:00:00","2014-10-04 00:00:00","2","4.73000","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"10319","TORTU","7","2014-10-02 20:00:00","2014-10-30 00:00:00","2014-10-11 00:00:00","3","64.50000","Tortuga Restaurante","Avda. Azteca 123","MÈxico D.F.",NULL,"05033","Mexico"
"10320","WARTH","5","2014-10-03 12:00:00","2014-10-19 00:00:00","2014-10-18 00:00:00","3","34.57000","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland"
"10321","ISLAT","3","2014-10-03 11:00:00","2014-10-31 00:00:00","2014-10-11 00:00:00","2","3.43000","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"10322","PERIC","7","2014-10-04 01:00:00","2014-11-01 00:00:00","2014-10-23 00:00:00","3","0.40000","Pericles Comidas cl·sicas","Calle Dr. Jorge Cash 321","MÈxico D.F.",NULL,"05033","Mexico"
"10323","KOENE","4","2014-10-07 06:00:00","2014-11-04 00:00:00","2014-10-14 00:00:00","1","4.88000","Kˆniglich Esse","Maubelstr. 90","Brandenburg",NULL,"14776","Germany"
"10324","SAVEA","9","2014-10-08 17:00:00","2014-11-05 00:00:00","2014-10-10 00:00:00","1","214.27000","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"10325","KOENE","1","2014-10-09 11:00:00","2014-10-23 00:00:00","2014-10-14 00:00:00","3","64.86000","Kˆniglich Esse","Maubelstr. 90","Brandenburg",NULL,"14776","Germany"
"10326","BOLID","4","2014-10-10 06:00:00","2014-11-07 00:00:00","2014-10-14 00:00:00","2","77.92000","BÛlido Comidas preparadas","C/ Araquil, 67","Madrid",NULL,"28023","Spai"
"10327","FOLKO","2","2014-10-11 12:00:00","2014-11-08 00:00:00","2014-10-14 00:00:00","1","63.36000","Folk och f‰ HB","≈kergatan 24","Br‰cke",NULL,"S-844 67","Swede"
"10328","FURIB","4","2014-10-14 03:00:00","2014-11-11 00:00:00","2014-10-17 00:00:00","3","87.03000","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa",NULL,"1675","Portugal"
"10329","SPLIR","4","2014-10-15 11:00:00","2014-11-26 00:00:00","2014-10-23 00:00:00","2","191.67000","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10330","LILAS","3","2014-10-16 01:00:00","2014-11-13 00:00:00","2014-10-28 00:00:00","1","12.75000","LILA-Supermercado","Carrera 52 con Ave. BolÌvar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10331","BONAP","9","2014-10-16 17:00:00","2014-11-27 00:00:00","2014-10-21 00:00:00","1","10.19000","Bon app'","12, rue des Bouchers","Marseille",NULL,"13008","France"
"10332","MEREP","3","2014-10-17 01:00:00","2014-11-28 00:00:00","2014-10-21 00:00:00","2","52.84000","MËre Paillarde","43 rue St. Laurent","MontrÈal","QuÈbec","H1J 1C3","Canada"
"10333","WARTH","5","2014-10-18 18:00:00","2014-11-15 00:00:00","2014-10-25 00:00:00","3","0.59000","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland"
"10334","VICTE","8","2014-10-21 14:00:00","2014-11-18 00:00:00","2014-10-28 00:00:00","2","8.56000","Victuailles en stock","2, rue du Commerce","Lyo",NULL,"69004","France"
"10335","HUNGO","7","2014-10-22 06:00:00","2014-11-19 00:00:00","2014-10-24 00:00:00","2","42.11000","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork",NULL,"Ireland"
"10336","PRINI","7","2014-10-23 05:00:00","2014-11-20 00:00:00","2014-10-25 00:00:00","2","15.51000","Princesa Isabel Vinhos","Estrada da sa˙de n. 58","Lisboa",NULL,"1756","Portugal"
"10337","FRANK","4","2014-10-24 14:00:00","2014-11-21 00:00:00","2014-10-29 00:00:00","3","108.26000","Frankenversand","Berliner Platz 43","M¸nche",NULL,"80805","Germany"
"10338","OLDWO","4","2014-10-25 01:00:00","2014-11-22 00:00:00","2014-10-29 00:00:00","3","84.21000","Old World Delicatesse","2743 Bering St.","Anchorage","AK","99508","USA"
"10339","MEREP","2","2014-10-28 22:00:00","2014-11-25 00:00:00","2014-11-04 00:00:00","2","15.66000","MËre Paillarde","43 rue St. Laurent","MontrÈal","QuÈbec","H1J 1C3","Canada"
"10340","BONAP","1","2014-10-29 16:00:00","2014-11-26 00:00:00","2014-11-08 00:00:00","3","166.31000","Bon app'","12, rue des Bouchers","Marseille",NULL,"13008","France"
"10341","SIMOB","7","2014-10-29 03:00:00","2014-11-26 00:00:00","2014-11-05 00:00:00","3","26.78000","Simons bistro","VinbÊltet 34","Kobenhav",NULL,"1734","Denmark"
"10342","FRANK","4","2014-10-30 17:00:00","2014-11-13 00:00:00","2014-11-04 00:00:00","2","54.83000","Frankenversand","Berliner Platz 43","M¸nche",NULL,"80805","Germany"
"10343","LEHMS","4","2014-10-31 00:00:00","2014-11-28 00:00:00","2014-11-06 00:00:00","1","110.37000","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",NULL,"60528","Germany"
"10344","WHITC","4","2014-11-01 16:00:00","2014-11-29 00:00:00","2014-11-05 00:00:00","2","23.29000","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"10345","QUICK","2","2014-11-04 10:00:00","2014-12-02 00:00:00","2014-11-11 00:00:00","2","249.06000","QUICK-Stop","Taucherstraﬂe 10","Cunewalde",NULL,"01307","Germany"
"10346","RATTC","3","2014-11-05 13:00:00","2014-12-17 00:00:00","2014-11-08 00:00:00","3","142.08000","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10347","FAMIA","4","2014-11-06 12:00:00","2014-12-04 00:00:00","2014-11-08 00:00:00","3","3.10000","Familia Arquibaldo","Rua OrÛs, 92","Sao Paulo","SP","05442-030","Brazil"
"10348","WANDK","4","2014-11-07 10:00:00","2014-12-05 00:00:00","2014-11-15 00:00:00","2","0.78000","Die Wandernde Kuh","Adenauerallee 900","Stuttgart",NULL,"70563","Germany"
"10349","SPLIR","7","2014-11-08 20:00:00","2014-12-06 00:00:00","2014-11-15 00:00:00","1","8.63000","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10350","LAMAI","6","2014-11-11 03:00:00","2014-12-09 00:00:00","2014-12-03 00:00:00","2","64.19000","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse",NULL,"31000","France"
"10351","ERNSH","1","2014-11-11 06:00:00","2014-12-09 00:00:00","2014-11-20 00:00:00","1","162.33000","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria"
"10352","FURIB","3","2014-11-12 03:00:00","2014-11-26 00:00:00","2014-11-18 00:00:00","3","1.30000","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa",NULL,"1675","Portugal"
"10353","PICCO","7","2014-11-13 12:00:00","2014-12-11 00:00:00","2014-11-25 00:00:00","3","360.63000","Piccolo und mehr","Geislweg 14","Salzburg",NULL,"5020","Austria"
"10354","PERIC","8","2014-11-14 03:00:00","2014-12-12 00:00:00","2014-11-20 00:00:00","3","53.80000","Pericles Comidas cl·sicas","Calle Dr. Jorge Cash 321","MÈxico D.F.",NULL,"05033","Mexico"
"10355","AROUT","6","2014-11-15 21:00:00","2014-12-13 00:00:00","2014-11-20 00:00:00","1","41.95000","Around the Hor","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
"10356","WANDK","6","2014-11-18 01:00:00","2014-12-16 00:00:00","2014-11-27 00:00:00","2","36.71000","Die Wandernde Kuh","Adenauerallee 900","Stuttgart",NULL,"70563","Germany"
"10357","LILAS","1","2014-11-19 08:00:00","2014-12-17 00:00:00","2014-12-02 00:00:00","3","34.88000","LILA-Supermercado","Carrera 52 con Ave. BolÌvar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10358","LAMAI","5","2014-11-20 05:00:00","2014-12-18 00:00:00","2014-11-27 00:00:00","1","19.64000","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse",NULL,"31000","France"
"10359","SEVES","5","2014-11-21 14:00:00","2014-12-19 00:00:00","2014-11-26 00:00:00","3","288.43000","Seven Seas Imports","90 Wadhurst Rd.","Londo",NULL,"OX15 4NB","UK"
"10360","BLONP","4","2014-11-22 20:00:00","2014-12-20 00:00:00","2014-12-02 00:00:00","3","131.70000","Blondel pËre et fils","24, place KlÈber","Strasbourg",NULL,"67000","France"
"10361","QUICK","1","2014-11-22 07:00:00","2014-12-20 00:00:00","2014-12-03 00:00:00","2","183.17000","QUICK-Stop","Taucherstraﬂe 10","Cunewalde",NULL,"01307","Germany"
"10362","BONAP","3","2014-11-25 16:00:00","2014-12-23 00:00:00","2014-11-28 00:00:00","1","96.04000","Bon app'","12, rue des Bouchers","Marseille",NULL,"13008","France"
"10363","DRACD","4","2014-11-26 05:00:00","2014-12-24 00:00:00","2014-12-04 00:00:00","3","30.54000","Drachenblut Delikatesse","Walserweg 21","Aache",NULL,"52066","Germany"
"10364","EASTC","1","2014-11-26 07:00:00","2015-01-07 00:00:00","2014-12-04 00:00:00","1","71.97000","Eastern Connectio","35 King George","Londo",NULL,"WX3 6FW","UK"
"10365","ANTO","3","2014-11-27 00:00:00","2014-12-25 00:00:00","2014-12-02 00:00:00","2","22.00000","Antonio Moreno TaquerÌa","Mataderos  2312","MÈxico D.F.",NULL,"05023","Mexico"
"10366","GALED","8","2014-11-28 05:00:00","2015-01-09 00:00:00","2014-12-30 00:00:00","2","10.14000","GalerÌa del gastronÛmo","Rambla de CataluÒa, 23","Barcelona",NULL,"8022","Spai"
"10367","VAFFE","7","2014-11-28 21:00:00","2014-12-26 00:00:00","2014-12-02 00:00:00","3","13.55000","Vaffeljernet","Smagsloget 45","≈rhus",NULL,"8200","Denmark"
"10368","ERNSH","2","2014-11-29 19:00:00","2014-12-27 00:00:00","2014-12-02 00:00:00","2","101.95000","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria"
"10369","SPLIR","8","2014-12-02 02:00:00","2014-12-30 00:00:00","2014-12-09 00:00:00","2","195.68000","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10370","CHOPS","6","2014-12-03 17:00:00","2014-12-31 00:00:00","2014-12-27 00:00:00","2","1.17000","Chop-suey Chinese","Hauptstr. 31","Ber",NULL,"3012","Switzerland"
"10371","LAMAI","1","2014-12-03 17:00:00","2014-12-31 00:00:00","2014-12-24 00:00:00","1","0.45000","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse",NULL,"31000","France"
"10372","QUEE","5","2014-12-04 10:00:00","2015-01-01 00:00:00","2014-12-09 00:00:00","2","890.78000","Queen Cozinha","Alameda dos Can‡rios, 891","Sao Paulo","SP","05487-020","Brazil"
"10373","HUNGO","4","2014-12-05 16:00:00","2015-01-02 00:00:00","2014-12-11 00:00:00","3","124.12000","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork",NULL,"Ireland"
"10374","WOLZA","1","2014-12-05 10:00:00","2015-01-02 00:00:00","2014-12-09 00:00:00","3","3.94000","Wolski Zajazd","ul. Filtrowa 68","Warszawa",NULL,"01-012","Poland"
"10375","HUNGC","3","2014-12-06 13:00:00","2015-01-03 00:00:00","2014-12-09 00:00:00","2","20.12000","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgi","OR","97827","USA"
"10376","MEREP","1","2014-12-09 14:00:00","2015-01-06 00:00:00","2014-12-13 00:00:00","2","20.39000","MËre Paillarde","43 rue St. Laurent","MontrÈal","QuÈbec","H1J 1C3","Canada"
"10377","SEVES","1","2014-12-09 20:00:00","2015-01-06 00:00:00","2014-12-13 00:00:00","3","22.21000","Seven Seas Imports","90 Wadhurst Rd.","Londo",NULL,"OX15 4NB","UK"
"10378","FOLKO","5","2014-12-10 00:00:00","2015-01-07 00:00:00","2014-12-19 00:00:00","3","5.44000","Folk och f‰ HB","≈kergatan 24","Br‰cke",NULL,"S-844 67","Swede"
"10379","QUEDE","2","2014-12-11 06:00:00","2015-01-08 00:00:00","2014-12-13 00:00:00","1","45.03000","Que DelÌcia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"10380","HUNGO","8","2014-12-12 19:00:00","2015-01-09 00:00:00","2015-01-16 00:00:00","3","35.03000","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork",NULL,"Ireland"
"10381","LILAS","3","2014-12-12 15:00:00","2015-01-09 00:00:00","2014-12-13 00:00:00","3","7.99000","LILA-Supermercado","Carrera 52 con Ave. BolÌvar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10382","ERNSH","4","2014-12-13 09:00:00","2015-01-10 00:00:00","2014-12-16 00:00:00","1","94.77000","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria"
"10383","AROUT","8","2014-12-16 22:00:00","2015-01-13 00:00:00","2014-12-18 00:00:00","3","34.24000","Around the Hor","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
"10384","BERGS","3","2014-12-16 10:00:00","2015-01-13 00:00:00","2014-12-20 00:00:00","3","168.64000","Berglunds snabbkˆp","Berguvsv‰gen  8","LuleÂ",NULL,"S-958 22","Swede"
